Date,Open
2022-03-22,41074.105469
2022-03-23,42364.378906
2022-03-24,42886.652344
2022-03-25,43964.546875
2022-03-26,44349.859375
2022-03-27,44505.355469
2022-03-28,46821.851563
2022-03-29,47100.4375
2022-03-30,47456.898438
2022-03-31,47062.148438
2022-04-01,45554.164063
2022-04-02,46285.5
2022-04-03,45859.128906
2022-04-04,46445.273438
2022-04-05,46624.507813
2022-04-06,45544.355469
2022-04-07,43207.5
2022-04-08,43505.136719
2022-04-09,42282.078125
2022-04-10,42781.089844
2022-04-11,42201.039063
2022-04-12,39533.714844
2022-04-13,40123.570313
2022-04-14,41160.21875
2022-04-15,39939.402344
2022-04-16,40552.316406
2022-04-17,40417.777344
2022-04-18,39721.203125
2022-04-19,40828.175781
2022-04-20,41501.746094
2022-04-21,41371.515625
2022-04-22,40525.863281
2022-04-23,39738.722656
2022-04-24,39478.375
2022-04-25,39472.605469
2022-04-26,40448.421875
2022-04-27,38120.300781
2022-04-28,39241.429688
2022-04-29,39768.617188
2022-04-30,38605.859375
2022-05-01,37713.265625
2022-05-02,38472.1875
2022-05-03,38528.109375
2022-05-04,37748.011719
2022-05-05,39695.746094
2022-05-06,36573.183594
2022-05-07,36042.503906
2022-05-08,35502.941406
2022-05-09,34060.015625
2022-05-10,30273.654297
2022-05-11,31016.183594
2022-05-12,28936.734375
2022-05-13,29030.910156
2022-05-14,29285.642578
2022-05-15,30098.585938
2022-05-16,31304.375
2022-05-17,29862.408203
2022-05-18,30424.478516
2022-05-19,28720.359375
2022-05-20,30311.119141
2022-05-21,29199.859375
2022-05-22,29432.472656
2022-05-23,30309.396484
2022-05-24,29101.125
2022-05-25,29653.134766
2022-05-26,29564.777344
2022-05-27,29251.140625
2022-05-28,28622.625
2022-05-29,29019.867188
2022-05-30,29443.365234
2022-05-31,31723.865234
2022-06-01,31792.554688
2022-06-02,29794.890625
2022-06-03,30467.806641
2022-06-04,29706.138672
2022-06-05,29835.117188
2022-06-06,29910.283203
2022-06-07,31371.742188
2022-06-08,31151.480469
2022-06-09,30215.279297
2022-06-10,30110.330078
2022-06-11,29084.666016
2022-06-12,28373.513672
2022-06-13,26737.578125
2022-06-14,22487.986328
2022-06-15,22196.730469
2022-06-16,22576.304688
2022-06-17,20385.71875
2022-06-18,20473.425781
2022-06-19,19010.902344
2022-06-20,20553.371094
2022-06-21,20594.294922
2022-06-22,20719.414063
2022-06-23,19986.607422
2022-06-24,21084.648438
2022-06-25,21233.609375
2022-06-26,21496.494141
2022-06-27,21028.238281
2022-06-28,20731.544922
2022-06-29,20281.169922
2022-06-30,20108.3125
2022-07-01,19820.470703
2022-07-02,19274.835938
2022-07-03,19242.095703
2022-07-04,19297.314453
2022-07-05,20225.353516
2022-07-06,20194.619141
2022-07-07,20547.814453
2022-07-08,21637.154297
2022-07-09,21716.828125
2022-07-10,21591.080078
2022-07-11,20856.353516
2022-07-12,19970.474609
2022-07-13,19325.972656
2022-07-14,20211.466797
2022-07-15,20573.15625
2022-07-16,20834.103516
2022-07-17,21195.041016
2022-07-18,20781.912109
2022-07-19,22467.849609
2022-07-20,23393.191406
2022-07-21,23233.201172
2022-07-22,23163.751953
2022-07-23,22706.984375
2022-07-24,22465.509766
2022-07-25,22607.15625
2022-07-26,21361.121094
2022-07-27,21244.169922
2022-07-28,22933.640625
2022-07-29,23845.212891
2022-07-30,23796.818359
2022-07-31,23652.070313
2022-08-01,23336.71875
2022-08-02,23308.433594
2022-08-03,22981.302734
2022-08-04,22848.214844
2022-08-05,22626.833984
2022-08-06,23291.423828
2022-08-07,22963.505859
2022-08-08,23179.527344
2022-08-09,23811.484375
2022-08-10,23162.898438
2022-08-11,23948.345703
2022-08-12,23957.203125
2022-08-13,24402.1875
2022-08-14,24429.056641
2022-08-15,24318.316406
2022-08-16,24126.136719
2022-08-17,23881.316406
2022-08-18,23341.039063
2022-08-19,23213.3125
2022-08-20,20872.841797
2022-08-21,21160.392578
2022-08-22,21531.462891
2022-08-23,21401.044922
2022-08-24,21526.455078
2022-08-25,21395.458984
2022-08-26,21596.085938
2022-08-27,20262.480469
2022-08-28,20041.035156
2022-08-29,19615.154297
2022-08-30,20298.611328
2022-08-31,19799.582031
2022-09-01,20050.498047
2022-09-02,20126.072266
2022-09-03,19969.71875
2022-09-04,19832.470703
2022-09-05,19988.789063
2022-09-06,19817.724609
2022-09-07,18837.683594
2022-09-08,19289.941406
2022-09-09,19328.140625
2022-09-10,21376.912109
2022-09-11,21678.542969
2022-09-12,21770.148438
2022-09-13,22371.480469
2022-09-14,20184.554688
2022-09-15,20242.289063
2022-09-16,19704.005859
2022-09-17,19777.033203
2022-09-18,20127.234375
2022-09-19,19418.572266
2022-09-20,19545.591797
2022-09-21,18891.283203
2022-09-22,18534.650391
2022-09-23,19412.400391
2022-09-24,19296.990234
2022-09-25,18936.310547
2022-09-26,18803.900391
2022-09-27,19221.839844
2022-09-28,19104.621094
2022-09-29,19427.779297
2022-09-30,19573.431641
2022-10-01,19431.105469
2022-10-02,19311.849609
2022-10-03,19044.068359
2022-10-04,19623.583984
2022-10-05,20335.900391
2022-10-06,20161.039063
2022-10-07,19957.558594
2022-10-08,19546.328125
2022-10-09,19417.478516
2022-10-10,19446.416016
2022-10-11,19139.0
2022-10-12,19052.646484
2022-10-13,19156.966797
2022-10-14,19382.533203
2022-10-15,19185.4375
2022-10-16,19068.914063
2022-10-17,19268.5625
2022-10-18,19550.466797
2022-10-19,19335.027344
2022-10-20,19138.085938
2022-10-21,19053.203125
2022-10-22,19172.380859
2022-10-23,19207.734375
2022-10-24,19567.769531
2022-10-25,19344.964844
2022-10-26,20092.236328
2022-10-27,20772.802734
2022-10-28,20287.957031
2022-10-29,20595.103516
2022-10-30,20817.982422
2022-10-31,20633.695313
2022-11-01,20494.898438
2022-11-02,20482.958984
2022-11-03,20162.689453
2022-11-04,20208.769531
2022-11-05,21144.832031
2022-11-06,21285.056641
2022-11-07,20924.621094
2022-11-08,20600.671875
2022-11-09,18543.761719
2022-11-10,15883.158203
2022-11-11,17583.251953
2022-11-12,17036.875
2022-11-13,16799.722656
2022-11-14,16352.02832
2022-11-15,16617.484375
2022-11-16,16884.341797
2022-11-17,16670.425781
2022-11-18,16687.912109
2022-11-19,16696.220703
2022-11-20,16712.919922
2022-11-21,16291.223633
2022-11-22,15782.300781
2022-11-23,16195.588867
2022-11-24,16611.636719
2022-11-25,16602.269531
2022-11-26,16521.576172
2022-11-27,16463.882813
2022-11-28,16440.222656
2022-11-29,16217.639648
2022-11-30,16445.476563
2022-12-01,17168.001953
2022-12-02,16968.683594
2022-12-03,17090.097656
2022-12-04,16908.169922
2022-12-05,17128.894531
2022-12-06,16975.238281
2022-12-07,17089.505859
2022-12-08,16847.349609
2022-12-09,17232.148438
2022-12-10,17134.220703
2022-12-11,17129.710938
2022-12-12,17102.5
2022-12-13,17206.441406
2022-12-14,17782.066406
2022-12-15,17813.644531
2022-12-16,17364.546875
2022-12-17,16636.878906
